Indikator Core Touchpoint,Kategori Touchpoint,Nama Kolom Bank XYZ,Nama Kolom Kompetitor
Ada Petugas Sekuriti Yang Mengatur Di Area Parkir Khusus Untuk Cabang Di Gedung Sendiri Ruko Dan Cabang Yang Menghadap Ke Tempat Parkir,Branch Parking & Exterior Services,Ada Petugas Sekuriti Yang Mengatur Di Area Parkir Khusus Untuk Cabang Di Gedung Sendiri Ruko Dan Cabang Yang Menghadap Ke Tempat Parkir Xyz,Ada Petugas Sekuriti Yang Mengatur Di Area Parkir Khusus Untuk Cabang Di Gedung Sendiri Ruko Dan Cabang Yang Menghadap Ke Tempat Parkir Kompetitor
Kebersihan Di Area Parkir,Branch Parking & Exterior Services,Kebersihan Di Area Parkir Xyz,Kebersihan Di Area Parkir Kompetitor
Kebersihan Pada Area Masuk Cabang,Physical Branch Ambiance & Comfort,Kebersihan Pada Area Masuk Cabang Xyz,Kebersihan Pada Area Masuk Cabang Kompetitor
Tersedia Tempat Duduk Yang Cukup Di Ruang Tunggu,Physical Branch Ambiance & Comfort,Tersedia Tempat Duduk Yang Cukup Di Ruang Tunggu Xyz,Tersedia Tempat Duduk Yang Cukup Di Ruang Tunggu Kompetitor
Pendingin Ruangan Di Ruang Tunggu Sejuk,Physical Branch Ambiance & Comfort,Pendingin Ruangan Di Ruang Tunggu Sejuk Xyz,Pendingin Ruangan Di Ruang Tunggu Sejuk Kompetitor
Ruang Tunggu Nyaman,Physical Branch Ambiance & Comfort,Ruang Tunggu Nyaman Xyz,Ruang Tunggu Nyaman Kompetitor
Disediakan Wifi Gratis Di Ruang Tunggu,Physical Branch Ambiance & Comfort,Disediakan Wifi Gratis Di Ruang Tunggu Xyz,Disediakan Wifi Gratis Di Ruang Tunggu Kompetitor
Tersedia Tv Di Ruang Tunggu,Physical Branch Ambiance & Comfort,Tersedia Tv Di Ruang Tunggu Xyz,Tersedia Tv Di Ruang Tunggu Kompetitor
Area Ruang Tunggunya Wangi,Physical Branch Ambiance & Comfort,Area Ruang Tunggunya Wangi Xyz,Area Ruang Tunggunya Wangi Kompetitor
Diputarkan Lagu Lembut Yang Mengalun Di Area Banking Hall,Physical Branch Ambiance & Comfort,Diputarkan Lagu Lembut Yang Mengalun Di Area Banking Hall Xyz,Diputarkan Lagu Lembut Yang Mengalun Di Area Banking Hall Kompetitor
Banking Hall Area Ruang Tunggunya Bersih,Physical Branch Ambiance & Comfort,Banking Hall Area Ruang Tunggunya Bersih Xyz,Banking Hall Area Ruang Tunggunya Bersih Kompetitor
Terdapat Tempat Sampah Dan Mudah Ditemukan,Physical Branch Ambiance & Comfort,Terdapat Tempat Sampah Dan Mudah Ditemukan Xyz,Terdapat Tempat Sampah Dan Mudah Ditemukan Kompetitor
Tersedia Penunjuk Arah Ruang Pelayanan Nasabah Yang Jelas Mudah Terlihat Cs Teller Toilet Dan Bisnis Unit Lainnya,Physical Branch Ambiance & Comfort,Tersedia Penunjuk Arah Ruang Pelayanan Nasabah Yang Jelas Mudah Terlihat Cs Teller Toilet Dan Bisnis Unit Lainnya Xyz,Tersedia Penunjuk Arah Ruang Pelayanan Nasabah Yang Jelas Mudah Terlihat Cs Teller Toilet Dan Bisnis Unit Lainnya Kompetitor
Area Ruang Tertata Dengan Baik Rapi Dan Teratur,Physical Branch Ambiance & Comfort,Area Ruang Tertata Dengan Baik Rapi Dan Teratur Xyz,Area Ruang Tertata Dengan Baik Rapi Dan Teratur Kompetitor
Tata Letak Di Kantor Cabang Mudah Untuk Diikuti Dan Mudah Untuk Menemukan Sesuatu Yang Dibutuhkan,Physical Branch Ambiance & Comfort,Tata Letak Di Kantor Cabang Mudah Untuk Diikuti Dan Mudah Untuk Menemukan Sesuatu Yang Dibutuhkan Xyz,Tata Letak Di Kantor Cabang Mudah Untuk Diikuti Dan Mudah Untuk Menemukan Sesuatu Yang Dibutuhkan Kompetitor
Terdapat Tanaman Hidup,Physical Branch Ambiance & Comfort,Terdapat Tanaman Hidup Xyz,Terdapat Tanaman Hidup Kompetitor
Tersedianya Ruang Laktasi,Physical Branch Ambiance & Comfort,Tersedianya Ruang Laktasi Xyz,Tersedianya Ruang Laktasi Kompetitor
Kemudahan Mengisi Data Data Pembukaan Rekening Baru Pada E Form Formulir Elektronik,E-Channel & Product Capability,Kemudahan Mengisi Data Data Pembukaan Rekening Baru Pada E Form Formulir Elektronik Xyz,Kemudahan Mengisi Data Data Pembukaan Rekening Baru Pada E Form Formulir Elektronik Kompetitor
Terdapat Petunjuk Arah Ke Toilet,Branch Hygiene & Sanitation,Terdapat Petunjuk Arah Ke Toilet Xyz,Terdapat Petunjuk Arah Ke Toilet Kompetitor
Terdapat Toilet Di Cabang,Branch Hygiene & Sanitation,Terdapat Toilet Di Cabang Xyz,Terdapat Toilet Di Cabang Kompetitor
Toilet Bersih,Branch Hygiene & Sanitation,Toilet Bersih Xyz,Toilet Bersih Kompetitor
Toilet Selalu Harum Dan Tidak Bau,Branch Hygiene & Sanitation,Toilet Selalu Harum Dan Tidak Bau Xyz,Toilet Selalu Harum Dan Tidak Bau Kompetitor
Tersedia Wastafel Di Area Toilet,Branch Hygiene & Sanitation,Tersedia Wastafel Di Area Toilet Xyz,Tersedia Wastafel Di Area Toilet Kompetitor
Selalu Tersedia Tisu Di Toilet,Branch Hygiene & Sanitation,Selalu Tersedia Tisu Di Toilet Xyz,Selalu Tersedia Tisu Di Toilet Kompetitor
Selalu Tersedia Sabun Pencuci Tangan Di Toilet,Branch Hygiene & Sanitation,Selalu Tersedia Sabun Pencuci Tangan Di Toilet Xyz,Selalu Tersedia Sabun Pencuci Tangan Di Toilet Kompetitor
Air Selalu Mengalir Dengan Lancar Di Semua Keran Yang Ada Di Toilet,Branch Hygiene & Sanitation,Air Selalu Mengalir Dengan Lancar Di Semua Keran Yang Ada Di Toilet Xyz,Air Selalu Mengalir Dengan Lancar Di Semua Keran Yang Ada Di Toilet Kompetitor
Toilet Selalu Berfungsi Dengan Baik,Branch Hygiene & Sanitation,Toilet Selalu Berfungsi Dengan Baik Xyz,Toilet Selalu Berfungsi Dengan Baik Kompetitor
Terdapat Tempat Sampah Di Toilet Dan Mudah Ditemukan,Branch Hygiene & Sanitation,Terdapat Tempat Sampah Di Toilet Dan Mudah Ditemukan Xyz,Terdapat Tempat Sampah Di Toilet Dan Mudah Ditemukan Kompetitor
Tempat Sampah Tidak Penuh,Branch Hygiene & Sanitation,Tempat Sampah Tidak Penuh Xyz,Tempat Sampah Tidak Penuh Kompetitor
Penampilannya Sesuai Dengan Standar Tinggi Tegap Besar Dan Tidak Gemuk,Frontline Security Touchpoint,Penampilannya Sesuai Dengan Standar Tinggi Tegap Besar Dan Tidak Gemuk Xyz,Penampilannya Sesuai Dengan Standar Tinggi Tegap Besar Dan Tidak Gemuk Kompetitor
Penampilannya Rapi,Frontline Security Touchpoint,Penampilannya Rapi Xyz,Penampilannya Rapi Kompetitor
Menggunakan Seragam Sekuriti Yang Lengkap,Frontline Security Touchpoint,Menggunakan Seragam Sekuriti Yang Lengkap Xyz,Menggunakan Seragam Sekuriti Yang Lengkap Kompetitor
Menyambut Nasabah Dengan Ramah,Frontline Security Touchpoint,Menyambut Nasabah Dengan Ramah Xyz,Menyambut Nasabah Dengan Ramah Kompetitor
Berperilaku Sopan,Frontline Security Touchpoint,Berperilaku Sopan Xyz,Berperilaku Sopan Kompetitor
Mengucapkan Salam Saat Nasabah Datang Pulang,Frontline Security Touchpoint,Mengucapkan Salam Saat Nasabah Datang Pulang Xyz,Mengucapkan Salam Saat Nasabah Datang Pulang Kompetitor
Menawarkan Bantuan Saat Nasabah Datang,Frontline Security Touchpoint,Menawarkan Bantuan Saat Nasabah Datang Xyz,Menawarkan Bantuan Saat Nasabah Datang Kompetitor
Mengarahkan Nasabah Dan Mengkonfirmasi Kelengkapan Dokumen Yang Diperlukan Untuk Bertransaksi,Frontline Security Touchpoint,Mengarahkan Nasabah Dan Mengkonfirmasi Kelengkapan Dokumen Yang Diperlukan Untuk Bertransaksi Xyz,Mengarahkan Nasabah Dan Mengkonfirmasi Kelengkapan Dokumen Yang Diperlukan Untuk Bertransaksi Kompetitor
Memiliki Pengetahuan Yang Memadai Untuk Menjawab Pertanyaan Dari Nasabah,Frontline Security Touchpoint,Memiliki Pengetahuan Yang Memadai Untuk Menjawab Pertanyaan Dari Nasabah Xyz,Memiliki Pengetahuan Yang Memadai Untuk Menjawab Pertanyaan Dari Nasabah Kompetitor
Memberikan Nomor Antrian Kepada Nasabah,Frontline Security Touchpoint,Memberikan Nomor Antrian Kepada Nasabah Xyz,Memberikan Nomor Antrian Kepada Nasabah Kompetitor
Mengatur Antrian Nasabah,Frontline Security Touchpoint,Mengatur Antrian Nasabah Xyz,Mengatur Antrian Nasabah Kompetitor
Mengucapkan Terima Kasih Saat Nasabah Pulang,Frontline Security Touchpoint,Mengucapkan Terima Kasih Saat Nasabah Pulang Xyz,Mengucapkan Terima Kasih Saat Nasabah Pulang Kompetitor
Jumlah Sekuriti Memadai,Frontline Security Touchpoint,Jumlah Sekuriti Memadai Xyz,Jumlah Sekuriti Memadai Kompetitor
Keberadaan Satpam Luar Banking Hall Yang Siap Dan Siaga N A Untuk Kcp,Frontline Security Touchpoint,Keberadaan Satpam Luar Banking Hall Yang Siap Dan Siaga N A Untuk Kcp Xyz,Keberadaan Satpam Luar Banking Hall Yang Siap Dan Siaga N A Untuk Kcp Kompetitor
Keberadaan Satpam Dalam Banking Hall Yang Siap Dan Siaga,Frontline Security Touchpoint,Keberadaan Satpam Dalam Banking Hall Yang Siap Dan Siaga Xyz,Keberadaan Satpam Dalam Banking Hall Yang Siap Dan Siaga Kompetitor
Mesin Atm Mudah Ditemui Dimana Mana,ATM Network Reliability & Security,Mesin Atm Mudah Ditemui Dimana Mana Xyz,Mesin Atm Mudah Ditemui Dimana Mana Kompetitor
Ketersediaan Berbagai Jenis Atm Tunai Setor Tunai Non Tunai,ATM Network Reliability & Security,Ketersediaan Berbagai Jenis Atm Tunai Setor Tunai Non Tunai Xyz,Ketersediaan Berbagai Jenis Atm Tunai Setor Tunai Non Tunai Kompetitor
Fitur Fitur Yang Ada Di Mesin Atm Lengkap Pembayaran Berbagai Macam Tagihan Transfer Antar Bank Dan Pembelian,ATM Network Reliability & Security,Fitur Fitur Yang Ada Di Mesin Atm Lengkap Pembayaran Berbagai Macam Tagihan Transfer Antar Bank Dan Pembelian Xyz,Fitur Fitur Yang Ada Di Mesin Atm Lengkap Pembayaran Berbagai Macam Tagihan Transfer Antar Bank Dan Pembelian Kompetitor
Antrian Di Mesin Atm Tidak Panjang,ATM Network Reliability & Security,Antrian Di Mesin Atm Tidak Panjang Xyz,Antrian Di Mesin Atm Tidak Panjang Kompetitor
Saya Merasa Aman Ketika Bertransaksi Menggunakan Atm Karena Dilengkapi Dengan Cctv Ada Sekuriti,ATM Network Reliability & Security,Saya Merasa Aman Ketika Bertransaksi Menggunakan Atm Karena Dilengkapi Dengan Cctv Ada Sekuriti Xyz,Saya Merasa Aman Ketika Bertransaksi Menggunakan Atm Karena Dilengkapi Dengan Cctv Ada Sekuriti Kompetitor
Mesin Atm Dapat Berfungsi Dengan Baik Ketika Akan Digunakan Tidak Sering Error Offline Struk Selalu Tersedia,ATM Network Reliability & Security,Mesin Atm Dapat Berfungsi Dengan Baik Ketika Akan Digunakan Tidak Sering Error Offline Struk Selalu Tersedia Xyz,Mesin Atm Dapat Berfungsi Dengan Baik Ketika Akan Digunakan Tidak Sering Error Offline Struk Selalu Tersedia Kompetitor
Mesin Atm Berada Di Lokasi Yang Aman Bukan Di Tempat Yang Sepi,ATM Network Reliability & Security,Mesin Atm Berada Di Lokasi Yang Aman Bukan Di Tempat Yang Sepi Xyz,Mesin Atm Berada Di Lokasi Yang Aman Bukan Di Tempat Yang Sepi Kompetitor
Ruangan Mesin At Mnya Nyaman Sejuk Bersih Wangi,ATM Network Reliability & Security,Ruangan Mesin At Mnya Nyaman Sejuk Bersih Wangi Xyz,Ruangan Mesin At Mnya Nyaman Sejuk Bersih Wangi Kompetitor
Menyediakan Atm Dengan Berbagai Pilihan Pecahan Nominal Rp 50 000 Rp 100 000,ATM Network Reliability & Security,Menyediakan Atm Dengan Berbagai Pilihan Pecahan Nominal Rp 50 000 Rp 100 000 Xyz,Menyediakan Atm Dengan Berbagai Pilihan Pecahan Nominal Rp 50 000 Rp 100 000 Kompetitor
Kartu Atm Dapat Digunakan Untuk Bertransaksi Dan Berbelanja,ATM Network Reliability & Security,Kartu Atm Dapat Digunakan Untuk Bertransaksi Dan Berbelanja Xyz,Kartu Atm Dapat Digunakan Untuk Bertransaksi Dan Berbelanja Kompetitor
Selalu Meminta Pin Setiap Kali Berganti Transaksi Untuk Menjamin Keamanan,ATM Network Reliability & Security,Selalu Meminta Pin Setiap Kali Berganti Transaksi Untuk Menjamin Keamanan Xyz,Selalu Meminta Pin Setiap Kali Berganti Transaksi Untuk Menjamin Keamanan Kompetitor
Kartu Atm Bisa Digunakan Di Atm Bersama Dan Jaringan Atm Lainnya,ATM Network Reliability & Security,Kartu Atm Bisa Digunakan Di Atm Bersama Dan Jaringan Atm Lainnya Xyz,Kartu Atm Bisa Digunakan Di Atm Bersama Dan Jaringan Atm Lainnya Kompetitor
Memiliki Alarm Yang Mengingatkan Jika Kartu Atm Belum Diambil Dari Mesin Atm,ATM Network Reliability & Security,Memiliki Alarm Yang Mengingatkan Jika Kartu Atm Belum Diambil Dari Mesin Atm Xyz,Memiliki Alarm Yang Mengingatkan Jika Kartu Atm Belum Diambil Dari Mesin Atm Kompetitor
Disediakan Nomor Call Center Di Mesin Atm Yang Bisa Dihubungi,ATM Network Reliability & Security,Disediakan Nomor Call Center Di Mesin Atm Yang Bisa Dihubungi Xyz,Disediakan Nomor Call Center Di Mesin Atm Yang Bisa Dihubungi Kompetitor
Tersedia Tempat Sampah Di Bilik Atm,ATM Network Reliability & Security,Tersedia Tempat Sampah Di Bilik Atm Xyz,Tersedia Tempat Sampah Di Bilik Atm Kompetitor
Terdapat Tutup Pengaman Di Atas Tombol Keypad Untuk Menjaga Kerahasiaan Nasabah Saat Memasukkan Pin,ATM Network Reliability & Security,Terdapat Tutup Pengaman Di Atas Tombol Keypad Untuk Menjaga Kerahasiaan Nasabah Saat Memasukkan Pin Xyz,Terdapat Tutup Pengaman Di Atas Tombol Keypad Untuk Menjaga Kerahasiaan Nasabah Saat Memasukkan Pin Kompetitor
Tersedia Informasi Untuk Lokasi Atm Terdekat,ATM Network Reliability & Security,Tersedia Informasi Untuk Lokasi Atm Terdekat Xyz,Tersedia Informasi Untuk Lokasi Atm Terdekat Kompetitor
Memiliki Persediaan Uang Yang Cukup,ATM Network Reliability & Security,Memiliki Persediaan Uang Yang Cukup Xyz,Memiliki Persediaan Uang Yang Cukup Kompetitor
